StartDateTime,ISEM DA Price
2024-02-08,68.208
2024-02-09,61.17888
2024-02-10,66.40704
2024-02-11,84.02506
2024-02-12,57.9012
2024-02-13,59.419096
2024-02-14,63.626162
2024-02-15,61.225206
2024-02-16,59.617572
2024-02-17,69.3117
2024-02-18,60.496848
2024-02-19,50.302864
2024-02-20,40.9968
2024-02-21,50.4981
2024-02-22,29.96
2024-02-23,52.239278
2024-02-24,59.194447
2024-02-25,73.7002
2024-02-26,48.05458
2024-02-27,57.2582
2024-02-28,61.70318
2024-02-29,41.0352
2024-03-01,68.758742
2024-03-02,65.0712
2024-03-03,65.238568
2024-03-04,88.505051
2024-03-05,43.94704
2024-03-06,64.1775
2024-03-07,55.311785
2024-03-08,57.984012
2024-03-09,47.7568
2024-03-10,61.33547
2024-03-11,81.190808
2024-03-12,62.89236
2024-03-13,42.256368
2024-03-14,56.01386
2024-03-15,53.53953
2024-03-16,90.80125
2024-03-17,72.393922
2024-03-18,61.99951
2024-03-19,46.471568
2024-03-20,80.55042
2024-03-21,80.005195
2024-03-22,53.216378
2024-03-23,10.467553
2024-03-24,64.3275
2024-03-25,77.96493
2024-03-26,68.563368
2024-03-27,58.23104
2024-03-28,68.169366
2024-03-29,76.963818
2024-03-30,77.22924
2024-03-31,80.9109
2024-04-01,54.7968
2024-04-02,96.40812
2024-04-03,57.789835
2024-04-04,66.650472
2024-04-05,35.950782
2024-04-06,18.45775
2024-04-07,-2.5725
2024-04-08,88.30535
2024-04-09,55.757
2024-04-10,61.777379
2024-04-11,13.29447
2024-04-12,47.0305
2024-04-13,98.4362
2024-04-14,101.7331
2024-04-15,0.0
2024-04-16,11.21302
2024-04-17,88.11216
2024-04-18,93.800808
2024-04-19,70.619376
2024-04-20,75.729742
2024-04-21,80.967238
2024-04-22,74.79692
2024-04-23,67.015248
2024-04-24,66.47616
2024-04-25,72.008026
2024-04-26,69.484632
2024-04-27,106.4044
2024-04-28,124.1055
2024-04-29,72.7515
2024-04-30,85.54
2024-05-01,63.167535
2024-05-02,84.2898
2024-05-03,70.28754
2024-05-04,76.558695
2024-05-05,89.888862
2024-05-06,82.43458
2024-05-07,72.768098
2024-05-08,90.447654
2024-05-09,92.232421
2024-05-10,78.502375
2024-05-11,77.642496
2024-05-12,66.779
2024-05-13,69.0494
2024-05-14,72.101295
2024-05-15,90.384
2024-05-16,83.671184
2024-05-17,68.753232
2024-05-18,84.585088
2024-05-19,80.487142
2024-05-20,89.497663
2024-05-21,89.942627
2024-05-22,96.86891
2024-05-23,38.886488
2024-05-24,89.3655
2024-05-25,106.46476
2024-05-26,92.832916
2024-05-27,85.41548
2024-05-28,86.42725
2024-05-29,74.0979
2024-05-30,74.109918
2024-05-31,81.6864
2024-06-01,84.91449
2024-06-02,88.203193
2024-06-03,80.635136
2024-06-04,93.753
2024-06-05,82.366752
2024-06-06,79.63658
2024-06-07,99.630778
2024-06-08,97.888
2024-06-09,63.104052
2024-06-10,74.237064
2024-06-11,85.90284
2024-06-12,85.4359
2024-06-13,86.058308
2024-06-14,60.2485
2024-06-15,86.02407
2024-06-16,101.01744
2024-06-17,82.4112
2024-06-18,85.596819
2024-06-19,77.75292
2024-06-20,84.40218
2024-06-21,79.881516
2024-06-22,94.994962
2024-06-23,103.32294
2024-06-24,83.167332
2024-06-25,90.608849
2024-06-26,83.6649
2024-06-27,75.184452
2024-06-28,31.787977
2024-06-29,108.77022
2024-06-30,77.57947
2024-07-01,78.062488
2024-07-02,69.42273
2024-07-03,79.694732
2024-07-04,16.596008
2024-07-05,98.189905
2024-07-06,88.752672
2024-07-07,80.712
2024-07-08,80.712
2024-07-09,80.154424
2024-07-10,68.141185
2024-07-11,71.030508
2024-07-12,80.548008
2024-07-13,90.8604
2024-07-14,75.002538
2024-07-15,74.851374
2024-07-16,75.094371
2024-07-17,88.59924
2024-07-18,71.448448
2024-07-19,92.103777
2024-07-20,75.09748
2024-07-21,77.50542
2024-07-22,76.86474
2024-07-23,72.008475
